,Unnamed: 0,valid_from,changeset_id,tags_before,changeset_tags,geometry,comments
13201,13129,2013-09-01 02:32:18+00:00,17612349,"{'Lat': '32.43318', 'Long': '75.52506', 'Place': 'Janglot', 'Sl_No': '12623.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
13202,13130,2013-09-01 02:32:20+00:00,17612349,"{'Lat': '32.4503', 'Long': '75.45038', 'Place': 'Budhi', 'Sl_No': '17020.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
13203,13131,2013-09-01 02:32:26+00:00,17612349,"{'Lat': '32.49055', 'Long': '74.75721', 'Place': 'Aajpur', 'Sl_No': '38029.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
13204,13132,2013-09-01 02:32:31+00:00,17612349,"{'Lat': '32.49783', 'Long': '74.78781', 'Place': 'Changeh', 'Sl_No': '38022.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
13205,13133,2013-09-01 02:32:32+00:00,17612349,"{'Lat': '32.5', 'Long': '74.875', 'Place': 'Partapgarh', 'Sl_No': '24643.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
13206,13134,2013-09-01 02:32:40+00:00,17612349,"{'Lat': '32.51025', 'Long': '74.94683', 'Place': 'Ramblu Brahmanan', 'Sl_No': '24654.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
13207,13135,2013-09-01 02:32:40+00:00,17612349,"{'Lat': '32.51111', 'Long': '74.92778', 'Place': 'Kuliyan', 'Sl_No': '24650.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
13208,13136,2013-09-01 02:32:44+00:00,17612349,"{'Lat': '32.52094', 'Long': '74.92206', 'Place': 'Chak Hiran', 'Sl_No': '24669.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
13209,13137,2013-09-01 02:32:46+00:00,17612349,"{'Lat': '32.53146', 'Long': '74.96682', 'Place': 'Sarwa', 'Sl_No': '24662.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
13210,13138,2013-09-01 02:32:47+00:00,17612349,"{'Lat': '32.53194', 'Long': '74.76111', 'Place': 'Partan', 'Sl_No': '24716.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
